# tier	backend	model_id	vram_sim_mb	notes
# ge-48 (5880 Ada native) — Phase 3 expanded with community-AWQ replacements
ge-48	vllm	Qwen/Qwen3-8B-AWQ		Qwen-team AWQ; bench-validated baseline
ge-48	vllm	Qwen/Qwen3-14B-AWQ		Qwen-team AWQ; Phase 1 winner 105/144
ge-48	vllm	casperhansen/deepseek-r1-distill-qwen-14b-awq		R1-distill, community AWQ (Casper Hansen)
ge-48	vllm	ELVISIO/Qwen3-30B-A3B-AWQ		MoE 30B/3B-active, community AWQ (879K downloads)
# Phi-4-AWQ dropped — no published AWQ variant (see local benchmarking notes)
# 24-48 (sim on 5880 Ada at util=0.53 ~= 24.5GB) — rerun Qwen3-8B-AWQ thinking only
24-48	vllm	Qwen/Qwen3-8B-AWQ	24576	sim-tier 24G ceiling, rerun w/ Phase 3 strip-fix
# Qwen2.5-7B-Instruct-AWQ 24-48 sim stands as-is (119/144, non-thinking — no <think> bypass)
# 16-24 (NEW sim cell on 5880 Ada at util=0.42 ~= 19.3GB) — Phase 3 coverage
16-24	vllm	Qwen/Qwen2.5-7B-Instruct-AWQ	19320	NEW Phase 3 sim-tier; util=0.42
16-24	vllm	Qwen/Qwen3-8B-AWQ	19320	NEW Phase 3 sim-tier; util=0.42 thinking
# 8-16 (5060 Ti native) — thinking-model rerun with Phase 3 strip-fix.
# qwen3:7b doesn't exist on Ollama registry (Qwen3 sizes: 0.6b/1.7b/4b/8b/14b/30b/32b);
# substituting deepseek-r1:7b (qwen-distill, ~5GB Q4, thinking-mode native).
# qwen2.5:7b-instruct (67/144, non-thinking) stays as the 8-16 baseline.
8-16	ollama	deepseek-r1:7b		R1-distill qwen-7b thinking; Phase 3 strip-fix retest
